ID_ESTADO,D_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,TIPO_CANDIDATURA,CASILLA,ESTATUS_ACTA,ORDEN,LISTA_NOMINAL_CASILLA,ID_GRUPO,TIPO_RECUENTO,NUM_VOTOS_NULOS,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,TOTAL_VOTOS,BOLETAS_INUTILIZADAS,PAN,PRI,PRD,PVEM,PT,MC,PANAL,PRI_PVEM,PRD_PT_MC,PRD_PT,PRD_MC,PT_MC,ID_MUNICIPIO,LISTA_NOMINAL,VOTOS_RESERVADOS,pan,pri,prd
15,14,324,1,C,0,1,1,5,299,696,2,3,14,0,391,405,289,59,108,106,0,3,10,8,57,34,5,1,0,13,682,NA,59,165,159
20,3,207,3,C,0,1,1,5,57,606,4,2,7,0,323,330,276,66,96,75,0,14,6,4,22,33,6,0,1,37,592,NA,66,118,135
19,9,275,1,B,0,1,2,5,115,652,1,2,17,0,469,486,167,175,165,1,1,51,0,19,56,0,1,0,0,14,638,NA,175,222,53
8,7,2422,1,B,0,1,1,5,586,617,3,2,13,0,295,308,309,49,113,47,5,20,1,19,27,9,4,1,0,50,603,NA,49,145,82
30,11,4665,1,C,0,1,2,5,408,518,3,2,13,0,336,349,171,36,82,125,1,6,3,1,34,41,6,1,0,205,504,NA,36,117,182
13,3,199,1,E,0,1,2,1,127,218,NA,NA,3,1,135,138,NA,28,69,18,0,4,0,8,6,1,0,0,0,11,204,NA,28,75,23
20,11,2014,1,B,0,1,1,5,324,542,1,2,6,0,350,356,185,32,96,171,1,2,3,0,11,22,9,2,1,468,528,NA,32,108,210
2,6,739,1,C,0,1,1,6,11,676,2,2,6,0,338,344,NA,116,78,67,4,3,7,13,32,11,5,0,2,4,662,2,116,114,95
30,12,4348,1,C,0,1,1,6,261,401,3,2,3,1,242,245,NA,98,44,43,2,5,6,8,12,17,3,3,0,192,387,1,98,58,77
21,11,1121,1,B,0,1,1,5,66,706,1,2,9,1,438,447,260,178,53,88,3,17,11,14,20,44,8,1,0,115,692,NA,178,76,169
2,6,828,1,C,0,1,1,5,174,405,3,2,6,0,200,206,199,57,62,35,7,2,4,7,19,4,1,2,0,4,391,NA,57,88,48
5,1,630,1,B,0,1,1,5,364,704,1,2,9,0,381,390,314,128,136,30,11,3,4,8,45,14,2,0,0,25,690,NA,128,192,53
20,6,2274,1,B,0,1,2,5,409,643,2,2,11,0,224,235,408,19,103,57,9,5,2,0,14,10,5,0,0,533,629,NA,19,126,79
15,22,2739,1,B,0,1,1,1,147,596,NA,NA,4,0,414,418,NA,210,80,62,4,14,6,4,19,14,0,1,0,58,582,NA,210,103,97
14,19,369,2,C,0,1,1,5,90,613,3,2,8,0,390,398,215,98,119,76,3,4,22,15,25,22,0,2,4,23,599,NA,98,147,130
15,16,4792,1,C,0,1,1,1,339,622,NA,NA,8,0,350,358,NA,61,109,84,8,6,5,4,31,34,6,1,1,105,608,NA,61,148,137
29,2,448,1,B,0,1,1,5,348,672,2,2,7,0,391,398,0,39,90,118,1,23,10,29,23,50,5,1,2,33,658,NA,39,114,209
8,9,1322,1,B,0,1,1,1,396,666,NA,NA,8,0,364,372,NA,127,154,34,1,0,0,19,21,8,0,0,0,32,652,NA,127,176,42
14,12,2042,1,C,0,1,1,1,89,520,NA,NA,12,0,324,336,NA,87,95,33,12,4,20,9,41,15,2,3,3,72,506,NA,87,148,80
17,1,302,3,C,0,1,1,5,296,596,4,2,19,0,342,361,236,62,94,87,8,7,4,9,36,31,4,0,0,7,582,NA,62,138,133
7,10,300,1,B,0,1,2,6,144,619,1,2,39,0,391,430,NA,86,111,33,100,7,4,26,16,6,2,0,0,20,605,1,86,227,52
17,5,36,1,C,0,1,1,6,31,476,2,2,11,0,266,277,NA,30,52,67,3,60,14,2,5,19,10,1,3,3,462,3,30,60,174
7,11,791,1,B,0,1,2,5,262,530,1,2,11,0,295,306,220,49,77,49,51,17,2,1,25,15,8,1,0,57,516,NA,49,153,92
3,2,325,1,C,0,1,1,5,277,597,3,2,8,0,225,233,0,76,67,24,3,8,3,6,27,7,4,0,0,4,583,NA,76,97,46
16,6,539,1,B,0,1,2,5,188,439,1,2,11,0,193,204,236,91,72,10,4,0,1,3,9,2,1,0,0,34,425,NA,91,85,14
11,12,341,3,C,0,1,1,1,35,675,NA,NA,6,0,345,351,NA,145,98,40,8,4,1,9,28,9,1,2,0,7,661,NA,145,134,57
15,25,1267,2,C,0,1,1,1,304,754,NA,NA,6,2,362,368,NA,41,103,94,5,7,4,14,59,22,9,2,0,32,740,NA,41,167,138
24,3,466,1,B,0,1,2,1,230,549,NA,NA,31,1,328,359,NA,113,144,2,13,1,0,5,48,1,0,0,0,17,535,NA,113,205,4
14,3,8,1,B,0,1,2,1,18,228,NA,NA,3,0,147,150,NA,24,56,10,18,2,24,4,8,1,0,0,0,1,214,NA,24,82,37
16,2,337,2,C,0,1,2,1,92,718,NA,NA,7,0,324,331,NA,84,100,45,6,27,5,22,35,0,0,0,0,20,704,NA,84,141,77
5,7,746,4,C,0,1,1,1,64,693,NA,NA,8,1,377,385,NA,119,139,44,8,6,7,10,27,14,0,1,1,30,679,NA,119,174,73
22,3,416,3,C,0,1,2,5,248,692,4,2,13,1,346,359,364,94,135,51,2,10,7,6,28,5,3,4,0,14,678,NA,94,165,80
21,12,1540,1,B,0,1,1,5,326,481,2,2,8,0,303,311,170,84,74,60,1,8,4,13,28,28,1,1,1,115,467,NA,84,103,103
8,4,2029,1,B,0,1,1,5,155,503,2,2,3,1,224,227,276,52,70,38,1,5,2,10,18,23,3,0,1,37,489,NA,52,89,72
16,11,1348,1,B,0,1,2,1,158,497,NA,NA,7,0,276,283,NA,7,173,67,1,0,0,1,18,8,1,0,0,58,483,NA,7,192,76
19,10,1399,2,C,0,1,1,5,252,611,4,2,10,0,312,322,291,130,94,37,4,8,0,5,18,8,6,1,1,40,597,NA,130,116,61
