clave,turno,tipo,mun,esp_3,esp_6
09DBN0006J,NOCTURNO,GENERAL,17,483.14,513.98
09DBN0007I,NOCTURNO,GENERAL,28,571.03,455.92
09DBN0008H,NOCTURNO,GENERAL,28,418.5,561.27
09DBN0015R,NOCTURNO,GENERAL,14,776.57,540.32
09DBN0016Q,NOCTURNO,GENERAL,14,714.09,670
09DBN0017P,NOCTURNO,GENERAL,17,659.04,570.04
09DBN0018O,NOCTURNO,GENERAL,17,703.04,606.64
09DBN0019N,NOCTURNO,GENERAL,14,646.41,748.04
09DBN0024Z,NOCTURNO,GENERAL,14,744.77,672.54
09DBN0025Y,NOCTURNO,GENERAL,14,699.88,644.67
09DBN0029U,NOCTURNO,GENERAL,16,397.11,493.35
09DBN0030J,NOCTURNO,GENERAL,16,712,674.42
09DBN0033G,NOCTURNO,GENERAL,16,536.91,346.65
09DBN0034F,NOCTURNO,GENERAL,16,668.05,616.48
09DBN0036D,NOCTURNO,GENERAL,16,742.41,561.89
09DBN0038B,NOCTURNO,GENERAL,16,556.93,518.58
09DBN0053U,NOCTURNO,GENERAL,16,553.95,690.57
09DBN0055S,NOCTURNO,GENERAL,14,604.22,594.54
09DBN0062B,NOCTURNO,GENERAL,14,733.34,695.78
09DBN0064Z,NOCTURNO,GENERAL,21,507.69,520.22
09DBN0065Z,NOCTURNO,GENERAL,21,695.2,628.75
09DBN0066Y,NOCTURNO,GENERAL,3,441.92,536.14
09DBN0068W,NOCTURNO,GENERAL,3,415.08,610.02
09DBN0069V,NOCTURNO,GENERAL,23,457.27,365.59
09DBN0073H,NOCTURNO,GENERAL,28,590.42,612.33
09DBN0074G,NOCTURNO,GENERAL,18,549.79,629.78
09DBN0075F,NOCTURNO,GENERAL,18,564.2,623.17
09DBN0077D,NOCTURNO,GENERAL,18,650.73,560.89
09DBN0078C,NOCTURNO,GENERAL,18,460.54,692.14
09DBN0079B,NOCTURNO,GENERAL,16,671.07,667.55
09DBN0080R,NOCTURNO,GENERAL,16,623.56,418.39
09DBN0083O,NOCTURNO,GENERAL,16,714.83,686.16
09DBN0084N,NOCTURNO,GENERAL,16,615.39,594.27
09DBN0086L,NOCTURNO,GENERAL,23,670.52,529.55
09DBN0087K,NOCTURNO,GENERAL,3,365.11,414.29
09DBN0090Y,NOCTURNO,GENERAL,28,660.2,653.73
09DBN0110V,NOCTURNO,GENERAL,16,623.73,602.42
09DBN0111U,NOCTURNO,GENERAL,16,668.77,548.83
09DBN0113S,NOCTURNO,GENERAL,3,576.33,496.97
09DBN0116P,NOCTURNO,GENERAL,28,582.95,576.02
09DBN0117O,NOCTURNO,GENERAL,16,706.27,565.55
09DBN0118N,NOCTURNO,GENERAL,3,656.71,666.1
09DBN0119M,NOCTURNO,GENERAL,17,599.52,506.12
09DBN0123Z,NOCTURNO,GENERAL,16,443.87,674.02
09DBN0124Y,NOCTURNO,GENERAL,24,730.12,575.72
09DBN0126W,NOCTURNO,GENERAL,3,711.51,565.71
09DBN0132G,NOCTURNO,GENERAL,16,736.36,622.81
09DBN0135D,NOCTURNO,GENERAL,3,593.55,655.4
09DBN0136C,NOCTURNO,GENERAL,18,578.96,686.34
09DBN0137B,NOCTURNO,GENERAL,24,360.61,389.07
09DIX0001O,MATUTINO,GENERAL,25,475.41,528.1
09DIX0002N,MATUTINO,GENERAL,13,470.36,495.46
09DIX0017P,MATUTINO,GENERAL,28,623.35,564.74
09DIX0028V,MATUTINO,GENERAL,18,506.32,504.51
09DIX0030J,MATUTINO,GENERAL,26,499.94,530.01
09DIX0031I,MATUTINO,GENERAL,17,652.11,632.41
09DIX0032H,MATUTINO,GENERAL,28,495.73,477.15
09DIX0033G,MATUTINO,GENERAL,27,556.94,642.99
09DIX0034F,MATUTINO,GENERAL,28,502.53,543.57
09DIX0035E,MATUTINO,GENERAL,23,532.56,548.28
09DIX0036D,MATUTINO,GENERAL,26,514.14,531.89
09DPR0001N,MATUTINO,GENERAL,22,532.07,566.52
09DPR0003L,VESPERTINO,GENERAL,18,528.8,539.3
09DPR0004K,MATUTINO,GENERAL,24,516.28,537.48
09DPR0005J,VESPERTINO,GENERAL,18,533.08,533.07
09DPR0006I,MATUTINO,GENERAL,18,527.02,546.9
09DPR0007H,MATUTINO,GENERAL,18,541.13,520.35
09DPR0008G,VESPERTINO,GENERAL,3,509.24,516.89
09DPR0009F,VESPERTINO,GENERAL,22,554.77,541.29
09DPR0010V,VESPERTINO,GENERAL,18,469.85,522.48
09DPR0011U,VESPERTINO,GENERAL,24,573.45,539.03
09DPR0012T,VESPERTINO,GENERAL,22,495.6,521.92
09DPR0013S,MATUTINO,GENERAL,16,621.05,572.77
09DPR0014R,MATUTINO,GENERAL,16,592.85,595.01
09DPR0015Q,VESPERTINO,GENERAL,22,529.7,557.48
09DPR0017O,MATUTINO,GENERAL,22,527.86,511.6
09DPR0018N,MATUTINO,GENERAL,22,575.72,542.09
09DPR0019M,MATUTINO,GENERAL,22,519.21,539.71
09DPR0020B,MATUTINO,GENERAL,15,572.12,482.52
09DPR0021A,MATUTINO,GENERAL,19,553.73,576.53
09DPR0022Z,MATUTINO,GENERAL,21,562.03,530.39
09DPR0027V,VESPERTINO,GENERAL,28,484.34,510.06
09DPR0029T,MATUTINO,GENERAL,18,529.83,548.65
09DPR0030I,VESPERTINO,GENERAL,18,497.86,472.17
09DPR0032G,VESPERTINO,GENERAL,23,486.57,592.91
09DPR0033F,MATUTINO,GENERAL,21,646.53,557.07
09DPR0034E,MATUTINO,GENERAL,23,545.25,516.74
09DPR0035D,VESPERTINO,GENERAL,23,536.35,551.78
09DPR0036C,VESPERTINO,GENERAL,15,503.54,478.03
09DPR0037B,MATUTINO,GENERAL,18,542.56,556.03
09DPR0038A,MATUTINO,GENERAL,13,566.7,595.92
09DPR0039Z,MATUTINO,GENERAL,13,637.23,570.21
09DPR0040P,VESPERTINO,GENERAL,21,498.81,489.31
09DPR0043M,VESPERTINO,GENERAL,15,604.96,546.9
09DPR0044L,MATUTINO,GENERAL,19,552.17,555.33
09DPR0045K,MATUTINO,GENERAL,23,549.3,511.86
09DPR0046J,MATUTINO,GENERAL,23,534.24,565.49
09DPR0047I,VESPERTINO,GENERAL,18,491.37,475.53
09DPR0048H,MATUTINO,GENERAL,3,600.11,667.98
09DPR0049G,MATUTINO,GENERAL,18,569.92,549.1
09DPR0050W,MATUTINO,GENERAL,18,496.09,521.48
