cntyfips,idnum,state,state2,stfips,zip,region,typebldg,floor,room,basement,windoor,rep,stratum,wave,starttm,stoptm,startdt,stopdt,activity,pcterr,adjwt,dupflag,zipflag,county,stfips,st,cty,lon,lat,Uppm
1,5081,MN,MN,27,55735,5,1,1,3,N,NA, 2,4, 41,930,930,12088,12288,2.2,9.7,1146.49919,1,0,AITKIN              ,1,AL,AUTAUGA,-86.643,32.534,1.78331
1,5082,MN,MN,27,55748,5,1,0,4,Y,NA, 5,2, 40,1615,1615,11888,12088,2.2,14.5,471.366223,0,0,AITKIN              ,1,AL,AUTAUGA,-86.643,32.534,1.78331
1,5083,MN,MN,27,55748,5,1,0,4,Y,NA, 3,2, 42,1030,1515,20288,21188,2.9,9.6,433.316718,0,0,AITKIN              ,1,AL,AUTAUGA,-86.643,32.534,1.78331
1,5084,MN,MN,27,56469,5,1,0,4,Y,NA, 2,2, 24,1410,1410,122987,123187,1,24.3,461.62367,0,0,AITKIN              ,1,AL,AUTAUGA,-86.643,32.534,1.78331
3,5085,MN,MN,27,55011,3,1,0,4,Y,NA, 3,2, 40,600,600,12888,13088,3.1,13.8,433.316718,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5086,MN,MN,27,55014,3,1,0,4,Y,NA, 5,2, 22,900,1300,120287,121187,2.5,12.8,471.366223,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5087,MN,MN,27,55014,3,1,0,4,Y,NA, 5,2, 28,2000,2025,121887,122087,1.5,14.5,471.366223,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5088,MN,MN,27,55014,3,1,0,2,Y,NA, 3,2, 33,800,1000,122587,122787,1,18,433.316718,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5089,MN,MN,27,55014,3,1,0,4,Y,NA, 3,2, 36,1000,1730,10188,10188,0.7,25.1,433.316718,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5090,MN,MN,27,55014,3,1,0,4,Y,NA, 2,2, 44,900,900,20288,20288,1.2,17.5,461.62367,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5091,MN,MN,27,55014,3,1,0,4,Y,NA, 2,2, 47,1040,1040,20288,20288,1.2,20.2,461.62367,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5092,MN,MN,27,55014,3,1,0,4,Y,NA, 5,2,  4,610,610,22988,30388,1.3,23.3,471.366223,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5093,MN,MN,27,55014,3,1,0,4,Y,NA, 4,2,  3,1130,1221,30388,31088,1.4,18.7,461.274696,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5094,MN,MN,27,55025,3,1,0,2,Y,NA, 2,2, 22,815,815,121287,121487,0.4,0,461.62367,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5095,MN,MN,27,55025,3,0,0,0, ,NA, 5,2, 26,1400,1400,121687,121887,1.1,18.8,471.366223,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5096,MN,MN,27,55025,3,1,0,0,Y,NA, 2,2, 41,1600,1600,12688,12888,4.5,7,461.62367,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5097,MN,MN,27,55025,3,1,0,4,Y,NA, 1,2, 43,1205,1205,12088,12288,1.3,33.2,485.435931,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5098,MN,MN,27,55025,3,1,0,4,Y,NA, 4,2, 48,2000,2000,22188,22388,2.1,10.1,461.274696,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5099,MN,MN,27,55038,3,1,0,4,Y,NA, 5,2, 49,1110,1110,33188,40488,5.9,5.7,471.366223,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5100,MN,MN,27,55070,3,1,0,2,Y,NA, 2,2,  1,1900,1900,22388,22588,3.3,8.4,461.62367,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5101,MN,MN,27,55303,3,1,0,2,Y,NA, 5,2, 22,1930,1930,120287,121087,1.8,14.4,471.366223,1,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5102,MN,MN,27,55303,3,0,0,0, ,NA, 2,2, 30,1630,1620,121987,122187,5.4,5.6,461.62367,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5103,MN,MN,27,55303,3,1,0,4,Y,NA, 2,2, 33,1815,1815,122887,123087,6.3,6.1,461.62367,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5104,MN,MN,27,55303,3,1,0,5,Y,NA, 5,2, 30,1900,1900,122887,123087,1.9,13.7,471.366223,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5105,MN,MN,27,55303,3,1,0,4,Y,NA, 2,2, 37,1500,1530,10188,10188,6.6,8.9,461.62367,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5106,MN,MN,27,55303,3,1,0,2,Y,NA, 5,2, 38,1000,1600,122887,123087,3.1,9.9,471.366223,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5107,MN,MN,27,55303,3,1,0,2,Y,NA, 3,2, 43,1730,1730,11688,11888,6.8,4.9,433.316718,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5108,MN,MN,27,55303,3,1,0,4,Y,NA, 1,2, 41,1750,1645,12888,13088,7,4.6,485.435931,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5109,MN,MN,27,55303,3,1,0,7,Y,NA, 2,2, 44,2210,2210,20288,20288,7.7,4.5,461.62367,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5110,MN,MN,27,55303,3,1,0,4,Y,NA, 1,2, 48,1700,1700,20288,20288,5.2,4.8,485.435931,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5111,MN,MN,27,55303,3,1,0,2,Y,NA, 2,2, 48,1530,1530,21388,21588,4.5,5.9,461.62367,1,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5112,MN,MN,27,55303,3,1,0,2,Y,NA, 5,2, 48,1830,1830,20288,20288,4.4,7.2,471.366223,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5113,MN,MN,27,55303,3,1,0,2,Y,NA, 1,2,  2,2030,2030,22688,22888,2.8,8.4,485.435931,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5114,MN,MN,27,55303,3,1,0,4,Y,NA, 3,2,  4,1501,1500,31888,32088,8.1,8.7,433.316718,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5115,MN,MN,27,55303,3,0,0,0, ,NA, 3,2,  2,800,900,30388,31188,1.6,12.8,433.316718,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5116,MN,MN,27,55304,3,1,0,0,Y,NA, 3,2, 22,1905,1325,120287,121187,4.2,9.5,433.316718,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5117,MN,MN,27,55304,3,0,0,0, ,NA, 1,2, 23,2040,2230,32288,32688,5.4,10.2,485.435931,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5118,MN,MN,27,55304,3,1,0,2,Y,NA, 1,2, 28,1600,1815,121387,121587,4,9.9,485.435931,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5119,MN,MN,27,55304,3,1,0,4,Y,NA, 5,2, 34,1003,1003,11488,11688,2.3,10.1,471.366223,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5120,MN,MN,27,55304,3,1,0,4,Y,NA, 1,2, 40,810,600,20288,20288,2.9,9,485.435931,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5121,MN,MN,27,55304,3,1,0,4,Y,NA, 1,2, 38,900,900,20288,20288,1.4,21.6,485.435931,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5122,MN,MN,27,55304,3,1,0,4,Y,NA, 3,2, 46,2300,2300,12688,12888,3.3,8.4,433.316718,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5123,MN,MN,27,55304,3,1,0,4,Y,NA, 3,2, 49,715,735,20288,20288,2.9,8.8,433.316718,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5124,MN,MN,27,55304,3,1,1,3,Y,NA, 2,2, 49,1715,1540,32688,32888,1.8,32,461.62367,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5125,MN,MN,27,55304,3,1,1,3,N,NA, 2,2,  2,1730,1730,22388,22588,0.2,0,461.62367,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5126,MN,MN,27,55421,3,1,0,2,Y,NA, 1,5, 21,1217,1220,120287,121087,2.4,14.1,2116.561544,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5127,MN,MN,27,55421,3,5,1,3,N,NA, 2,5, 36,2230,2230,10188,10188,1.1,24,2246.96884,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5128,MN,MN,27,55432,3,1,0,7,Y,NA, 5,5, 26,945,945,121687,121887,2.2,10.7,2179.503255,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5129,MN,MN,27,55432,3,1,0,2,Y,NA, 3,5, 43,800,804,12388,12588,0.6,24,2119.396234,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5130,MN,MN,27,55432,3,1,0,4,Y,NA, 4,5,  4,2115,2030,22988,30388,1.7,20.8,2314.365189,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5131,MN,MN,27,55433,3,0,0,0, ,NA, 1,5, 33,845,1000,12188,12388,2.9,7.3,2116.561544,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5132,MN,MN,27,55433,3,1,0,4,Y,NA, 2,5, 50,2200,2200,20288,20288,2.2,10,2246.96884,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5133,MN,MN,27,55434,3,1,0,2,Y,NA, 5,5, 33,1815,1815,122787,122987,1.7,20,2179.503255,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5134,MN,MN,27,55434,3,1,0,2,Y,NA, 4,5, 38,1600,1600,11388,11588,1.4,18.8,2314.365189,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5135,MN,MN,27,55434,3,1,0,2,Y,NA, 1,5, 40,1100,1110,11888,12088,1.9,10.4,2116.561544,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
3,5136,MN,MN,27,55434,3,1,0,4,Y,NA, 2,5, 38,1515,1515,12988,13188,1.8,12.2,2246.96884,0,0,ANOKA               ,1,AL,BALDWIN,-87.75,30.661,1.38323
